gdp_m,gdp_s,gdp
92669.30 ,193337.80 ,355075.00 
86176.30 ,190484.20 ,335204.80 
96363.00 ,192363.10 ,356501.10 
95908.10 ,193514.30 ,357293.60 
103796.00 ,202850.00 ,377618.50 
96232.00 ,198792.20 ,353395.60 
101621.30 ,200866.40 ,370111.50 
99317.60 ,200879.10 ,368304.30 
105110.90 ,209072.70 ,387387.00 
97143.40 ,205351.40 ,361724.20 
103150.10 ,207817.40 ,379044.20 
100895.20 ,207360.10 ,376867.90 
106771.30 ,216278.20 ,397100.30 
99702.00 ,210843.00 ,370014.00 
106106.20 ,215276.00 ,390130.20 
104081.40 ,215591.60 ,390031.20 
110603.40 ,225097.20 ,412498.20 
103850.30 ,218527.50 ,383939.70 
110601.60 ,221552.10 ,403578.90 
106721.60 ,222145.30 ,401978.70 
112680.10 ,231815.70 ,423220.20 
104869.00 ,224576.80 ,393340.90 
110778.20 ,227543.10 ,411511.30 
109462.20 ,229681.80 ,415415.80 
116024.10 ,239668.10 ,437752.40 
106332.30 ,231530.20 ,404410.50 
113851.20 ,235716.30 ,426425.20 
111336.00 ,236621.90 ,426949.30 
119774.60 ,244550.70 ,449095.30 
110733.80 ,236879.00 ,416959.40 
116254.10 ,240960.00 ,438108.40 
118620.50 ,243130.60 ,443682.10 
122461.90 ,252136.80 ,462061.60 
112057.40 ,247414.10 ,429666.40 
119782.50 ,250553.80 ,451781.60 
122465.60 ,251411.20 ,454166.90 
129224.70 ,261043.60 ,476390.40 
113265.50 ,254291.30 ,437193.30 
120836.20 ,258040.30 ,461251.30 
124058.60 ,258181.00 ,463085.90 
131452.40 ,269391.30 ,487427.90 
117204.10 ,254753.00 ,443200.40 
112918.20 ,254255.30 ,448714.80 
123191.80 ,254739.30 ,457856.00 
131609.70 ,263608.30 ,480808.90 
